SYMB,DATE,HORA,VWAP
MMM,2020-10-08,14:05:00,167.099
MMM,2020-10-08,14:10:00,167.1011
MMM,2020-10-08,14:15:00,167.1037
MMM,2020-10-08,14:20:00,167.1091
MMM,2020-10-08,14:25:00,167.1164
MMM,2020-10-08,14:30:00,167.1198
MMM,2020-10-08,14:35:00,167.1234
MMM,2020-10-08,14:40:00,167.1266
MMM,2020-10-08,14:45:00,167.1321
MMM,2020-10-08,14:50:00,167.1368
MMM,2020-10-08,14:55:00,167.1381
MMM,2020-10-08,15:00:00,167.1397
MMM,2020-10-08,15:05:00,167.1398
MMM,2020-10-08,15:10:00,167.1401
MMM,2020-10-08,15:15:00,167.1441
MMM,2020-10-08,15:20:00,167.1495
MMM,2020-10-08,15:25:00,167.1568
MMM,2020-10-08,15:30:00,167.1675
MMM,2020-10-08,15:35:00,167.1755
MMM,2020-10-08,15:40:00,167.1836
MMM,2020-10-08,15:45:00,167.1954
MMM,2020-10-08,15:50:00,167.2188
MMM,2020-10-08,15:55:00,167.2411
MMM,2020-10-08,16:00:00,167.269
MMM,2020-10-08,16:05:00,167.2874
MMM,2020-10-08,16:10:00,167.3002
MMM,2020-10-08,16:15:00,167.328
MMM,2020-10-08,16:50:00,167.3281
MMM,2020-10-08,18:05:00,167.3282
MMM,2020-10-08,18:10:00,167.3283
MMM,2020-10-08,18:55:00,167.3284
MMM,2020-10-09,09:30:00,168.2833
MMM,2020-10-09,09:35:00,168.8346
MMM,2020-10-09,09:40:00,168.8035
MMM,2020-10-09,09:45:00,168.7847
MMM,2020-10-09,09:50:00,168.7725
MMM,2020-10-09,09:55:00,168.7336
MMM,2020-10-09,10:00:00,168.7044
MMM,2020-10-09,10:05:00,168.681
MMM,2020-10-09,10:10:00,168.6655
MMM,2020-10-09,10:15:00,168.5966
MMM,2020-10-09,10:20:00,168.5792
MMM,2020-10-09,10:25:00,168.5622
MMM,2020-10-09,10:30:00,168.5393
MMM,2020-10-09,10:35:00,168.5292
MMM,2020-10-09,10:40:00,168.5129
MMM,2020-10-09,10:45:00,168.4736
MMM,2020-10-09,10:50:00,168.5494
MMM,2020-10-09,10:55:00,168.5964
MMM,2020-10-09,11:00:00,168.6281
MMM,2020-10-09,11:05:00,168.6707
MMM,2020-10-09,11:10:00,168.7938
MMM,2020-10-09,11:15:00,168.8194
MMM,2020-10-09,11:20:00,168.8309
MMM,2020-10-09,11:25:00,168.8366
MMM,2020-10-09,11:30:00,168.8434
MMM,2020-10-09,11:35:00,168.8491
MMM,2020-10-09,11:40:00,168.8558
MMM,2020-10-09,11:45:00,168.8667
MMM,2020-10-09,11:50:00,168.8825
MMM,2020-10-09,11:55:00,169.014
MMM,2020-10-09,12:00:00,169.0403
MMM,2020-10-09,12:05:00,169.0622
MMM,2020-10-09,12:10:00,169.0726
MMM,2020-10-09,12:15:00,169.0836
MMM,2020-10-09,12:20:00,169.0962
MMM,2020-10-09,12:25:00,169.1125
MMM,2020-10-09,12:30:00,169.1481
MMM,2020-10-09,12:35:00,169.1708
MMM,2020-10-09,12:40:00,169.1796
MMM,2020-10-09,12:45:00,169.1929
MMM,2020-10-09,12:50:00,169.2063
MMM,2020-10-09,12:55:00,169.2172
MMM,2020-10-09,13:00:00,169.2259
MMM,2020-10-09,13:05:00,169.2453
MMM,2020-10-09,13:10:00,169.2489
MMM,2020-10-09,13:15:00,169.2511
MMM,2020-10-09,13:20:00,169.2517
MMM,2020-10-09,13:25:00,169.2504
MMM,2020-10-09,13:30:00,169.2497
MMM,2020-10-09,13:35:00,169.2508
MMM,2020-10-09,13:40:00,169.2536
MMM,2020-10-09,13:45:00,169.2562
MMM,2020-10-09,13:50:00,169.2581
MMM,2020-10-09,13:55:00,169.2597
MMM,2020-10-09,14:00:00,169.2623
MMM,2020-10-09,14:05:00,169.267
MMM,2020-10-09,14:10:00,169.2694
MMM,2020-10-09,14:15:00,169.2727
MMM,2020-10-09,14:20:00,169.2759
MMM,2020-10-09,14:25:00,169.2777
MMM,2020-10-09,14:30:00,169.2806
MMM,2020-10-09,14:35:00,169.2825
MMM,2020-10-09,14:40:00,169.2804
MMM,2020-10-09,14:45:00,169.2812
MMM,2020-10-09,14:50:00,169.2847
MMM,2020-10-09,14:55:00,169.2872
MMM,2020-10-09,15:00:00,169.29
MMM,2020-10-09,15:05:00,169.292
MMM,2020-10-09,15:10:00,169.2932
MMM,2020-10-09,15:15:00,169.2935
MMM,2020-10-09,15:20:00,169.2934
MMM,2020-10-09,15:25:00,169.294
MMM,2020-10-09,15:30:00,169.2957
MMM,2020-10-09,15:35:00,169.2961
MMM,2020-10-09,15:40:00,169.2955
MMM,2020-10-09,15:45:00,169.2946
MMM,2020-10-09,15:50:00,169.2924
MMM,2020-10-09,15:55:00,169.2913
MMM,2020-10-09,16:00:00,169.2897
MMM,2020-10-09,16:05:00,169.2898
MMM,2020-10-09,16:10:00,169.2898
MMM,2020-10-12,07:05:00,169.3
MMM,2020-10-12,08:00:00,169.3183
MMM,2020-10-12,08:05:00,169.2971
MMM,2020-10-12,08:55:00,169.2607
MMM,2020-10-12,09:05:00,169.2491
MMM,2020-10-12,09:10:00,169.2311
MMM,2020-10-12,09:35:00,169.3086
MMM,2020-10-12,09:40:00,169.3462
MMM,2020-10-12,09:45:00,169.4303
MMM,2020-10-12,09:50:00,169.4867
MMM,2020-10-12,09:55:00,169.5505
MMM,2020-10-12,10:00:00,169.599
MMM,2020-10-12,10:05:00,169.6515
MMM,2020-10-12,10:10:00,169.6855
MMM,2020-10-12,10:15:00,169.7189
MMM,2020-10-12,10:20:00,169.743
MMM,2020-10-12,10:25:00,169.7469
MMM,2020-10-12,10:30:00,169.7587
MMM,2020-10-12,10:35:00,169.7659
MMM,2020-10-12,10:40:00,169.7639
MMM,2020-10-12,10:45:00,169.7626
MMM,2020-10-12,10:50:00,169.7575
MMM,2020-10-12,10:55:00,169.751
MMM,2020-10-12,11:00:00,169.721
MMM,2020-10-12,11:05:00,169.6883
MMM,2020-10-12,11:10:00,169.66
MMM,2020-10-12,11:15:00,169.6342
MMM,2020-10-12,11:20:00,169.6319
MMM,2020-10-12,11:25:00,169.6367
MMM,2020-10-12,11:30:00,169.6428
MMM,2020-10-12,11:35:00,169.641
MMM,2020-10-12,11:40:00,169.6406
MMM,2020-10-12,11:45:00,169.6378
MMM,2020-10-12,11:50:00,169.6326
MMM,2020-10-12,11:55:00,169.6267
MMM,2020-10-12,12:00:00,169.6176
MMM,2020-10-12,12:05:00,169.6098
MMM,2020-10-12,12:10:00,169.6009
MMM,2020-10-12,12:15:00,169.5902
MMM,2020-10-12,12:20:00,169.5847
MMM,2020-10-12,12:25:00,169.582
MMM,2020-10-12,12:30:00,169.5763
MMM,2020-10-12,12:35:00,169.5721
MMM,2020-10-12,12:40:00,169.5693
MMM,2020-10-12,12:45:00,169.5658
MMM,2020-10-12,12:50:00,169.561
MMM,2020-10-12,12:55:00,169.5549
MMM,2020-10-12,13:00:00,169.5513
MMM,2020-10-12,13:05:00,169.5453
MMM,2020-10-12,13:10:00,169.5353
MMM,2020-10-12,13:15:00,169.533
MMM,2020-10-12,13:20:00,169.5299
MMM,2020-10-12,13:25:00,169.5276
MMM,2020-10-12,13:30:00,169.5255
MMM,2020-10-12,13:35:00,169.5228
MMM,2020-10-12,13:40:00,169.5162
MMM,2020-10-12,13:45:00,169.5067
MMM,2020-10-12,13:50:00,169.5
MMM,2020-10-12,13:55:00,169.4944
MMM,2020-10-12,14:00:00,169.484
MMM,2020-10-12,14:05:00,169.4752
MMM,2020-10-12,14:10:00,169.4666
MMM,2020-10-12,14:15:00,169.4571
MMM,2020-10-12,14:20:00,169.4407
MMM,2020-10-12,14:25:00,169.4283
MMM,2020-10-12,14:30:00,169.4191
MMM,2020-10-12,14:35:00,169.4072
MMM,2020-10-12,14:40:00,169.3948
MMM,2020-10-12,14:45:00,169.3706
MMM,2020-10-12,14:50:00,169.3403
MMM,2020-10-12,14:55:00,169.3264
MMM,2020-10-12,15:00:00,169.3159
MMM,2020-10-12,15:05:00,169.3054
MMM,2020-10-12,15:10:00,169.2959
MMM,2020-10-12,15:15:00,169.2822
MMM,2020-10-12,15:20:00,169.276
MMM,2020-10-12,15:25:00,169.2709
MMM,2020-10-12,15:30:00,169.2653
MMM,2020-10-12,15:35:00,169.2584
MMM,2020-10-12,15:40:00,169.2524
MMM,2020-10-12,15:45:00,169.2423
MMM,2020-10-12,15:50:00,169.2286
MMM,2020-10-12,15:55:00,169.2101
MMM,2020-10-12,16:00:00,169.1612
MMM,2020-10-12,16:05:00,169.1287
MMM,2020-10-12,16:30:00,169.1286
MMM,2020-10-12,18:00:00,169.1286
MMM,2020-10-12,20:00:00,169.1286
MMM,2020-10-13,06:35:00,168.0
MMM,2020-10-13,07:05:00,167.9854
MMM,2020-10-13,07:15:00,167.9901
MMM,2020-10-13,07:40:00,167.9913
MMM,2020-10-13,08:10:00,167.9909
MMM,2020-10-13,08:15:00,167.99
MMM,2020-10-13,08:25:00,167.9791
MMM,2020-10-13,08:35:00,167.9672
MMM,2020-10-13,08:45:00,167.9093
MMM,2020-10-13,08:50:00,167.8836
MMM,2020-10-13,08:55:00,167.8639
MMM,2020-10-13,09:00:00,167.8465
MMM,2020-10-13,09:25:00,167.7672
MMM,2020-10-13,09:30:00,167.9242
MMM,2020-10-13,09:35:00,168.6243
MMM,2020-10-13,09:40:00,168.7054
MMM,2020-10-13,09:45:00,168.7474
MMM,2020-10-13,09:50:00,168.7449
MMM,2020-10-13,09:55:00,168.7245
MMM,2020-10-13,10:00:00,168.6995
MMM,2020-10-13,10:05:00,168.6826
MMM,2020-10-13,10:10:00,168.6756
MMM,2020-10-13,10:15:00,168.6197
MMM,2020-10-13,10:20:00,168.5788
MMM,2020-10-13,10:25:00,168.544
MMM,2020-10-13,10:30:00,168.5232
MMM,2020-10-13,10:35:00,168.4993
MMM,2020-10-13,10:40:00,168.4867
MMM,2020-10-13,10:45:00,168.4628
MMM,2020-10-13,10:50:00,168.4337
MMM,2020-10-13,10:55:00,168.3999
