FROM_CURRENCY_CODE,FROM_CURRENCY_NAME,TO_CURRENCY_CODE,TO_CURRENCY_NAME,EXCHANGE_RATE,LAST_REFRESHED,TIME_ZONE,BID_PRICE,ASK_PRICE
GBP,British Pound Sterling,BRL,Brazilian Real,7.3313,2020-11-05 00:07:02,UTC,7.3309558,7.3316442
GBP,British Pound Sterling,BRL,Brazilian Real,7.3314,2020-11-05 00:12:02,UTC,7.33108622,7.3316412
