FROM_CURRENCY_CODE,FROM_CURRENCY_NAME,TO_CURRENCY_CODE,TO_CURRENCY_NAME,EXCHANGE_RATE,LAST_REFRESHED,TIME_ZONE,BID_PRICE,ASK_PRICE
EUR,Euro,BRL,Brazilian Real,6.6348,2020-11-05 00:07:02,UTC,6.63468621,6.63491379
EUR,Euro,BRL,Brazilian Real,6.6349,2020-11-05 00:12:02,UTC,6.6346638,6.63497199
