FROM_CURRENCY_CODE,FROM_CURRENCY_NAME,TO_CURRENCY_CODE,TO_CURRENCY_NAME,EXCHANGE_RATE,LAST_REFRESHED,TIME_ZONE,BID_PRICE,ASK_PRICE
JPY,Japanese Yen,BRL,Brazilian Real,0.05405,2020-11-05 00:07:02,UTC,0.05404901,0.05405179
JPY,Japanese Yen,BRL,Brazilian Real,0.05406,2020-11-05 00:12:02,UTC,0.05405959,0.05406041
