FROM_CURRENCY_CODE,FROM_CURRENCY_NAME,TO_CURRENCY_CODE,TO_CURRENCY_NAME,EXCHANGE_RATE,LAST_REFRESHED,TIME_ZONE,BID_PRICE,ASK_PRICE
CAD,Canadian Dollar,BRL,Brazilian Real,4.3065,2020-11-05 00:07:02,UTC,4.30636693,4.30667571
CAD,Canadian Dollar,BRL,Brazilian Real,4.3068,2020-11-05 00:12:03,UTC,4.30672851,4.30685017
