FROM_CURRENCY_CODE,FROM_CURRENCY_NAME,TO_CURRENCY_CODE,TO_CURRENCY_NAME,EXCHANGE_RATE,LAST_REFRESHED,TIME_ZONE,BID_PRICE,ASK_PRICE
USD,United States Dollar,BRL,Brazilian Real,5.6528,2020-11-05 00:07:45,UTC,5.6528,5.6528
USD,United States Dollar,BRL,Brazilian Real,5.6528,2020-11-05 00:12:39,UTC,5.6528,5.6528
