SYMB,DATA_OP,HORA_OP,MKT_OPEN,HIGH,LOW,MKT_CLOSE,VOLUME
ACN,2020-11-03,16:30:00,225.7326,225.7326,225.7326,225.7326,334
ACN,2020-11-03,16:13:00,225.6874,225.6874,225.6874,225.6874,3920
ACN,2020-11-03,16:06:00,225.71,225.71,225.71,225.71,15509
ACN,2020-11-03,16:05:00,225.71,225.71,225.71,225.71,1426
ACN,2020-11-03,16:01:00,225.71,225.71,225.71,225.71,21567
ACN,2020-11-03,16:00:00,225.86,225.93,225.52,225.52,30365
ACN,2020-11-03,15:59:00,226.01,226.15,225.76,225.76,10228
ACN,2020-11-03,15:58:00,226.32,226.435,226.07,226.09,8140
ACN,2020-11-03,15:57:00,226.34,226.47,226.13,226.39,12844
ACN,2020-11-03,15:56:00,227.09,227.09,226.23,226.285,11342
ACN,2020-11-03,15:55:00,227.03,227.17,226.88,227.1,14511
ACN,2020-11-03,15:54:00,226.71,227.1,226.68,227.06,12877
ACN,2020-11-03,15:53:00,226.305,226.79,226.305,226.79,9432
ACN,2020-11-03,15:52:00,226.36,226.62,226.29,226.37,13278
ACN,2020-11-03,15:51:00,226.58,226.61,226.23,226.26,14592
ACN,2020-11-03,15:50:00,226.33,226.58,226.33,226.58,7825
ACN,2020-11-03,15:49:00,226.3,226.4,226.22,226.4,6290
ACN,2020-11-03,15:48:00,226.1801,226.31,226.1801,226.25,6563
ACN,2020-11-03,15:47:00,226.09,226.26,226.09,226.26,7183
ACN,2020-11-03,15:46:00,226.06,226.3,226.05,226.2,10299
ACN,2020-11-03,15:45:00,226.055,226.15,226.025,226.025,5230
ACN,2020-11-03,15:44:00,226.04,226.14,226.01,226.13,5081
ACN,2020-11-03,15:43:00,226.2,226.2,225.9,225.97,7039
ACN,2020-11-03,15:42:00,226.295,226.315,226.17,226.22,4431
ACN,2020-11-03,15:41:00,225.81,226.43,225.8,226.3441,9784
ACN,2020-11-03,15:40:00,225.77,225.93,225.72,225.85,4455
ACN,2020-11-03,15:39:00,225.96,226.055,225.82,225.82,3114
ACN,2020-11-03,15:38:00,226.02,226.03,225.89,225.95,4867
ACN,2020-11-03,15:37:00,225.81,225.98,225.75,225.98,3011
ACN,2020-11-03,15:36:00,225.9,226.02,225.85,225.92,5726
ACN,2020-11-03,15:35:00,225.7866,225.97,225.7866,225.89,3571
ACN,2020-11-03,15:34:00,225.67,225.79,225.63,225.785,4143
ACN,2020-11-03,15:33:00,225.66,225.73,225.62,225.69,1610
ACN,2020-11-03,15:32:00,225.49,225.68,225.48,225.6,4342
ACN,2020-11-03,15:31:00,225.43,225.5,225.26,225.5,3610
ACN,2020-11-03,15:30:00,225.27,225.38,225.14,225.38,3027
ACN,2020-11-03,15:29:00,225.26,225.32,225.26,225.31,1180
ACN,2020-11-03,15:28:00,225.17,225.43,225.17,225.24,3164
ACN,2020-11-03,15:27:00,224.96,225.19,224.89,225.19,4251
ACN,2020-11-03,15:26:00,224.99,225.08,224.96,224.96,5270
ACN,2020-11-03,15:25:00,224.84,224.93,224.7907,224.905,2882
ACN,2020-11-03,15:24:00,225.04,225.05,224.75,224.79,6378
ACN,2020-11-03,15:23:00,225.1,225.15,225.08,225.1,2646
ACN,2020-11-03,15:22:00,225.35,225.35,225.05,225.15,2944
ACN,2020-11-03,15:21:00,225.34,225.45,225.26,225.43,3596
ACN,2020-11-03,15:20:00,225.42,225.42,225.27,225.27,2270
ACN,2020-11-03,15:19:00,225.31,225.31,225.27,225.29,2295
ACN,2020-11-03,15:18:00,225.25,225.35,225.1773,225.22,3017
ACN,2020-11-03,15:17:00,225.155,225.36,225.155,225.36,2105
ACN,2020-11-03,15:16:00,225.15,225.26,225.11,225.19,1876
ACN,2020-11-03,15:15:00,225.12,225.2,225.09,225.16,2718
ACN,2020-11-03,15:14:00,225.2,225.26,225.03,225.14,3124
ACN,2020-11-03,15:13:00,225.18,225.22,225.16,225.21,2151
ACN,2020-11-03,15:12:00,225.09,225.21,225.035,225.165,4185
ACN,2020-11-03,15:11:00,225.03,225.0379,225.03,225.0379,905
ACN,2020-11-03,15:10:00,225.0,225.03,224.95,225.0,3655
ACN,2020-11-03,15:09:00,225.0,225.0,224.8,224.97,4609
ACN,2020-11-03,15:08:00,224.9775,225.06,224.93,224.99,4793
ACN,2020-11-03,15:07:00,224.95,225.0,224.91,225.0,2375
ACN,2020-11-03,15:06:00,224.93,225.02,224.92,224.94,4107
ACN,2020-11-03,15:05:00,224.98,225.05,224.94,225.005,5249
ACN,2020-11-03,15:04:00,225.0,225.09,224.95,225.08,3176
ACN,2020-11-03,15:03:00,225.11,225.12,224.89,224.995,4724
ACN,2020-11-03,15:02:00,224.92,225.03,224.91,225.03,4639
ACN,2020-11-03,15:01:00,225.05,225.1,224.84,224.97,12008
ACN,2020-11-03,15:00:00,225.01,225.15,225.01,225.15,1415
ACN,2020-11-03,14:59:00,225.07,225.16,225.07,225.08,1369
ACN,2020-11-03,14:58:00,225.05,225.06,225.0,225.03,2170
ACN,2020-11-03,14:57:00,224.95,225.04,224.95,225.0,3587
ACN,2020-11-03,14:56:00,225.01,225.01,224.8792,224.96,4218
ACN,2020-11-03,14:55:00,224.895,225.0,224.895,224.98,4288
ACN,2020-11-03,14:54:00,225.01,225.01,224.85,224.85,1900
ACN,2020-11-03,14:53:00,225.0,225.06,224.941,224.941,3737
ACN,2020-11-03,14:52:00,225.01,225.01,225.01,225.01,832
ACN,2020-11-03,14:51:00,225.05,225.1118,225.05,225.1118,1272
ACN,2020-11-03,14:50:00,225.01,225.14,225.0,225.07,2653
ACN,2020-11-03,14:49:00,224.832,224.98,224.82,224.98,2357
ACN,2020-11-03,14:48:00,224.84,224.875,224.8,224.875,1347
ACN,2020-11-03,14:47:00,224.92,224.92,224.89,224.89,1003
ACN,2020-11-03,14:46:00,224.99,225.01,224.93,224.93,1891
ACN,2020-11-03,14:45:00,225.05,225.11,224.87,224.87,2847
ACN,2020-11-03,14:44:00,224.89,225.105,224.78,225.06,5392
ACN,2020-11-03,14:43:00,224.86,224.92,224.83,224.89,1419
ACN,2020-11-03,14:42:00,224.88,224.93,224.83,224.83,7236
ACN,2020-11-03,14:41:00,224.78,224.9,224.78,224.86,3781
ACN,2020-11-03,14:40:00,224.76,224.815,224.76,224.815,1315
ACN,2020-11-03,14:39:00,224.785,224.84,224.78,224.78,1057
ACN,2020-11-03,14:38:00,224.72,224.855,224.72,224.82,2659
ACN,2020-11-03,14:37:00,224.76,224.76,224.68,224.69,1320
ACN,2020-11-03,14:36:00,224.72,224.84,224.69,224.71,2218
ACN,2020-11-03,14:35:00,224.8,224.85,224.7,224.78,4066
ACN,2020-11-03,14:34:00,224.69,224.8119,224.61,224.765,2838
ACN,2020-11-03,14:33:00,224.76,224.81,224.695,224.72,3536
ACN,2020-11-03,14:32:00,224.43,224.74,224.43,224.74,1939
ACN,2020-11-03,14:31:00,224.38,224.42,224.23,224.345,4199
ACN,2020-11-03,14:30:00,224.285,224.37,224.19,224.37,2776
ACN,2020-11-03,14:29:00,224.46,224.47,224.33,224.33,1756
ACN,2020-11-03,14:28:00,224.435,224.49,224.34,224.45,6871
ACN,2020-11-03,14:27:00,224.44,224.47,224.39,224.42,4383
